tables,1513493903.9774573,1513494535.6862965
query,1513494535.6870258,1513494536.0012674,96
query,1513494536.014771,1513494536.255545,736
query,1513494536.2555501,1513494536.4743104,685
query,1513494536.4743137,1513494536.6476264,89
query,1513494536.6476314,1513494536.7806396,71
query,1513494536.780643,1513494536.9709008,921
query,1513494536.9709044,1513494537.1999733,29
query,1513494537.1999772,1513494537.5361,43
query,1513494537.536103,1513494537.774331,127
query,1513494537.7743342,1513494537.9568253,83
query,1513494537.9568288,1513494538.2050579,91
query,1513494538.2050629,1513494538.4071302,829
query,1513494538.407134,1513494538.5754018,91
query,1513494538.5754054,1513494538.7833896,854
query,1513494538.7833936,1513494539.0027926,84
query,1513494539.0027957,1513494539.18071,528
query,1513494539.1807144,1513494539.3316665,27
query,1513494539.3316715,1513494539.5565147,92
query,1513494539.5565195,1513494539.7589364,43
query,1513494539.7589395,1513494539.986287,87
query,1513494539.9863353,1513494540.2348943,229
query,1513494540.2485778,1513494540.428656,820
query,1513494540.4286606,1513494540.6219096,93
query,1513494540.6219137,1513494540.8146648,991
query,1513494540.814669,1513494540.9659433,66
query,1513494540.9659472,1513494541.1726134,91
query,1513494541.1726165,1513494541.3876624,91
query,1513494541.3876667,1513494541.6012728,91
query,1513494541.6012783,1513494541.7320876,91
query,1513494541.7320929,1513494541.9639885,91
query,1513494541.9640145,1513494542.1899624,35
query,1513494542.1899672,1513494542.357828,60
query,1513494542.3578322,1513494542.6449347,1396
query,1513494542.644939,1513494542.8834212,304
query,1513494542.8834255,1513494543.1305604,1320
query,1513494543.1305683,1513494543.3629735,886
query,1513494543.3629773,1513494543.568573,66
query,1513494543.5685763,1513494543.7577596,1091
query,1513494543.757764,1513494543.9869924,856
query,1513494543.9869967,1513494544.1926088,411
query,1513494544.1926527,1513494544.4937308,1531
query,1513494544.5050426,1513494544.7506158,1499
query,1513494544.7506192,1513494545.0337992,1406
query,1513494545.0338037,1513494545.482962,1830
query,1513494545.4829667,1513494545.7538528,771
query,1513494545.7538574,1513494545.9867485,1367
query,1513494545.9867525,1513494546.2622218,1205
query,1513494546.262227,1513494546.6991212,2030
query,1513494546.6991286,1513494546.8167486,1
query,1513494546.816753,1513494547.0177896,15
query,1513494547.017795,1513494547.2169952,1034
query,1513494547.217,1513494547.323449,0
query,1513494547.3234522,1513494547.7083595,1854
query,1513494547.7083633,1513494547.8556874,855
query,1513494547.855691,1513494548.1094086,635
query,1513494548.1094124,1513494548.298618,613
query,1513494548.2986221,1513494548.4837177,673
query,1513494548.4837232,1513494548.703914,1188
query,1513494548.70392,1513494548.9677517,822
query,1513494548.9677565,1513494549.194811,226
query,1513494549.194858,1513494549.361318,4
query,1513494549.3734193,1513494549.601862,759
query,1513494549.6018662,1513494550.014695,2020
query,1513494550.014701,1513494550.2196162,1300
query,1513494550.2196224,1513494550.3583803,116
query,1513494550.3583846,1513494550.5265398,978
query,1513494550.5265465,1513494550.6985865,535
query,1513494550.6985915,1513494551.1125355,1532
query,1513494551.1125398,1513494551.300586,1219
query,1513494551.300589,1513494551.4895284,540
query,1513494551.4895318,1513494551.791683,1541
query,1513494551.791687,1513494552.006361,1405
query,1513494552.0063653,1513494552.162467,36
query,1513494552.1624708,1513494552.4064968,985
query,1513494552.4065044,1513494552.639033,941
query,1513494552.639038,1513494552.8312938,739
query,1513494552.8312986,1513494553.0042093,9
query,1513494553.0042133,1513494553.2131827,164
query,1513494553.2131865,1513494553.3829348,760
query,1513494553.382939,1513494553.5408564,574
query,1513494553.5408974,1513494553.821108,1260
query,1513494553.8332298,1513494554.1427464,198
query,1513494554.1427507,1513494554.3165767,817
query,1513494554.316582,1513494554.606817,40
query,1513494554.606821,1513494554.8296976,1033
query,1513494554.829702,1513494555.0448046,229
query,1513494555.0448084,1513494555.156137,0
query,1513494555.1561408,1513494555.4192479,1523
query,1513494555.4192529,1513494555.6198745,514
query,1513494555.619878,1513494555.7986865,756
query,1513494555.7986913,1513494556.0044436,852
query,1513494556.004448,1513494556.1954823,213
query,1513494556.1954885,1513494556.3484674,912
query,1513494556.3484735,1513494556.5124657,374
query,1513494556.5124707,1513494556.6728065,72
query,1513494556.672812,1513494557.0083342,1625
query,1513494557.0083392,1513494557.21849,508
query,1513494557.2184951,1513494557.4372678,1418
query,1513494557.4372723,1513494557.6619842,1145
query,1513494557.6619883,1513494558.0220382,1592
query,1513494558.022082,1513494558.2361996,31
query,1513494558.2436137,1513494558.5088923,918
query,1513494558.5088966,1513494558.696457,772
query,1513494558.6964614,1513494558.875974,124
query,1513494558.8759797,1513494559.047927,621
query,1513494559.047931,1513494559.2413688,930
query,1513494559.2413733,1513494559.5455518,1796
query,1513494559.5455587,1513494559.7693677,825
query,1513494559.7693727,1513494559.9815748,263
query,1513494559.981579,1513494560.274861,1693
query,1513494560.2748647,1513494560.5164673,1165
query,1513494560.5164742,1513494560.7262845,1334
query,1513494560.7262888,1513494560.8906803,349
query,1513494560.8906837,1513494561.0782456,756
query,1513494561.0782485,1513494561.2256513,632
query,1513494561.2256558,1513494561.3863251,88
query,1513494561.3863287,1513494561.5395012,565
query,1513494561.539505,1513494561.9250526,2200
query,1513494561.9250588,1513494562.1422946,1033
query,1513494562.1422997,1513494562.3376646,166
query,1513494562.3377051,1513494562.679102,384
query,1513494562.691357,1513494562.842393,212
query,1513494562.8423967,1513494563.1724677,1878
query,1513494563.1724732,1513494563.3538373,14
query,1513494563.3538418,1513494563.549142,830
query,1513494563.5491464,1513494563.7652323,1275
query,1513494563.7652385,1513494563.90617,158
query,1513494563.9061763,1513494564.2646458,2458
query,1513494564.2646518,1513494564.4745855,79
query,1513494564.474589,1513494564.835023,1815
query,1513494564.8350286,1513494565.007468,1077
query,1513494565.0074725,1513494565.2607603,1230
query,1513494565.2607644,1513494565.4519958,651
query,1513494565.4520004,1513494565.6736386,518
query,1513494565.6736434,1513494566.072335,1702
query,1513494566.0723388,1513494566.2398021,24
query,1513494566.2398055,1513494566.3937442,189
query,1513494566.3937488,1513494566.6547937,1611
query,1513494566.6547983,1513494566.8490784,132
query,1513494566.8490827,1513494567.068024,665
query,1513494567.0680695,1513494567.3505538,708
query,1513494567.3629794,1513494567.5983908,1333
query,1513494567.5983949,1513494567.7667253,469
query,1513494567.76673,1513494568.008761,235
query,1513494568.008766,1513494568.3405106,1391
query,1513494568.340517,1513494568.8226838,2294
query,1513494568.8226874,1513494568.9868631,600
query,1513494568.986866,1513494569.136812,342
query,1513494569.1368167,1513494569.3837833,1343
query,1513494569.3837905,1513494569.5714586,1112
query,1513494569.5714636,1513494569.8057914,1213
query,1513494569.8057952,1513494569.9122298,3
query,1513494569.9122355,1513494570.1077974,1463
query,1513494570.1078007,1513494570.2612412,90
query,1513494570.2612448,1513494570.4103866,50
query,1513494570.4103909,1513494570.5591729,133
query,1513494570.5591762,1513494570.7559404,935
query,1513494570.7559445,1513494570.986283,951
query,1513494570.9862876,1513494571.344818,1754
query,1513494571.3448222,1513494571.6789572,1688
query,1513494571.6790211,1513494571.8835366,540
query,1513494571.895732,1513494572.1219316,1391
query,1513494572.1219358,1513494572.3213146,1067
query,1513494572.321321,1513494572.4877121,520
query,1513494572.4877155,1513494572.664067,113
query,1513494572.6640718,1513494572.8205545,434
query,1513494572.8205574,1513494573.0340822,1677
query,1513494573.0340858,1513494573.564485,2166
