tables,1513283111.2722712,1513283446.271852
query,1513283446.2723799,1513283446.797241,664
query,1513283446.811439,1513283447.140926,537
query,1513283447.140931,1513283447.3203588,249
query,1513283447.3203626,1513283447.5601866,106
query,1513283447.5601904,1513283447.7764597,742
query,1513283447.7764647,1513283447.999228,85
query,1513283447.9992335,1513283448.1670508,127
query,1513283448.1670544,1513283448.381377,104
query,1513283448.3813815,1513283448.6059725,307
query,1513283448.6059759,1513283448.835088,118
query,1513283448.8350916,1513283448.9980934,1
query,1513283448.998097,1513283449.193078,159
query,1513283449.193083,1513283449.3693013,381
query,1513283449.369305,1513283449.5443752,104
query,1513283449.5443788,1513283449.796037,290
query,1513283449.7960403,1513283449.9507685,256
query,1513283449.9507718,1513283450.0989559,488
query,1513283450.0989592,1513283450.270014,537
query,1513283450.270018,1513283450.4553173,104
query,1513283450.4553204,1513283450.6656928,78
query,1513283450.665734,1513283450.9056625,114
query,1513283450.9189155,1513283451.113004,104
query,1513283451.113007,1513283451.2956288,155
query,1513283451.2956321,1513283451.4820237,529
query,1513283451.4820285,1513283451.699653,104
query,1513283451.6996562,1513283451.9523928,68
query,1513283451.9523964,1513283452.1969368,938
query,1513283452.1969404,1513283452.397954,158
query,1513283452.397957,1513283452.6540616,80
query,1513283452.6540656,1513283452.890798,357
query,1513283452.8908014,1513283453.0763726,414
query,1513283453.0763767,1513283453.2540777,187
query,1513283453.2540822,1513283453.4177325,356
query,1513283453.4177377,1513283453.6019526,376
query,1513283453.6019578,1513283453.778076,262
query,1513283453.7780807,1513283454.042147,104
query,1513283454.042151,1513283454.2203748,122
query,1513283454.220381,1513283454.4216762,549
query,1513283454.4216807,1513283454.628348,105
query,1513283454.6283538,1513283454.8149097,411
query,1513283454.8149586,1513283454.9952927,474
query,1513283455.0043766,1513283455.237034,760
query,1513283455.2370384,1513283455.368306,115
query,1513283455.3683143,1513283455.547318,195
query,1513283455.5473228,1513283455.772018,104
query,1513283455.772024,1513283455.9711657,104
query,1513283455.9711695,1513283456.132451,121
query,1513283456.1324546,1513283456.3182218,422
query,1513283456.3182263,1513283456.5293455,327
query,1513283456.5293496,1513283456.7508965,106
query,1513283456.7509003,1513283456.9384434,318
query,1513283456.9384482,1513283457.1590977,209
query,1513283457.1591015,1513283457.3056674,417
query,1513283457.305671,1513283457.4577491,319
query,1513283457.457753,1513283457.60171,32
query,1513283457.6017146,1513283457.7589064,279
query,1513283457.7589107,1513283457.938283,733
query,1513283457.938287,1513283458.1578314,98
query,1513283458.1578355,1513283458.3555095,104
query,1513283458.3555138,1513283458.5357757,336
query,1513283458.5358148,1513283458.7819963,104
query,1513283458.7950833,1513283458.9728816,350
query,1513283458.9728854,1513283459.1192536,346
query,1513283459.119267,1513283459.2978647,385
query,1513283459.2978678,1513283459.486307,512
query,1513283459.4863112,1513283459.657439,215
query,1513283459.6574426,1513283459.821614,556
query,1513283459.8216174,1513283460.0281098,348
query,1513283460.0281138,1513283460.186773,250
query,1513283460.1867776,1513283460.488612,583
query,1513283460.4886155,1513283460.6842165,104
query,1513283460.68422,1513283460.8775008,902
query,1513283460.8775043,1513283461.1055946,647
query,1513283461.1055994,1513283461.3006601,813
query,1513283461.300664,1513283461.4758272,994
query,1513283461.4758315,1513283461.6438491,645
query,1513283461.6438527,1513283461.893798,1475
query,1513283461.8938017,1513283462.1899219,1522
