tables,1513121002.896539,1513122014.0855026
query,1513122014.0865626,1513122014.3218691,86
query,1513122014.3329358,1513122014.60713,687
query,1513122014.607134,1513122014.8199508,614
query,1513122014.8199553,1513122014.9670532,81
query,1513122014.9670575,1513122015.0992863,27
query,1513122015.099291,1513122015.2879524,1383
query,1513122015.2879565,1513122015.4070208,33
query,1513122015.4070244,1513122015.5206091,47
query,1513122015.520614,1513122015.644625,334
query,1513122015.6446292,1513122015.7731,30
query,1513122015.773104,1513122016.3305767,81
query,1513122016.330581,1513122016.528866,897
query,1513122016.52887,1513122017.0155418,81
query,1513122017.0155466,1513122017.3042228,801
query,1513122017.304227,1513122017.4156928,111
query,1513122017.4156964,1513122017.660319,510
query,1513122017.6603236,1513122017.769142,18
query,1513122017.7691467,1513122018.04884,83
query,1513122018.0488594,1513122018.1475904,30
query,1513122018.1475937,1513122018.4738278,67
query,1513122018.4738772,1513122018.6076267,293
query,1513122018.6217575,1513122018.7516942,618
query,1513122018.7517107,1513122018.9591978,60
query,1513122018.959202,1513122019.3215117,810
query,1513122019.3215172,1513122019.421416,59
query,1513122019.4214203,1513122019.8799992,82
query,1513122019.880004,1513122020.3210697,81
query,1513122020.3210747,1513122020.7150166,82
query,1513122020.7150207,1513122021.131267,82
query,1513122021.1312714,1513122021.5590515,82
query,1513122021.5590558,1513122021.7630382,28
query,1513122021.7630427,1513122021.8952646,39
query,1513122021.8952692,1513122022.3918242,1253
query,1513122022.3918278,1513122022.5475116,250
query,1513122022.5475152,1513122022.8635695,1194
query,1513122022.8635745,1513122023.107577,834
query,1513122023.1075807,1513122023.2152877,4
query,1513122023.215292,1513122023.3561873,538
query,1513122023.356191,1513122023.5996864,857
query,1513122023.5996897,1513122023.756938,525
query,1513122023.7571964,1513122024.1174252,1413
query,1513122024.1331463,1513122024.4940827,1337
query,1513122024.494087,1513122024.9085135,1209
query,1513122024.9085195,1513122025.437981,1824
query,1513122025.437984,1513122025.5719674,497
query,1513122025.5719705,1513122025.8876784,1234
query,1513122025.8876824,1513122026.224047,1177
query,1513122026.224052,1513122026.8009973,2109
query,1513122026.8010013,1513122026.8982692,4
query,1513122026.898273,1513122027.0146558,27
query,1513122027.01466,1513122027.2403636,836
query,1513122027.2403672,1513122027.3384426,0
query,1513122027.3384469,1513122027.8692064,1786
query,1513122027.869211,1513122028.0537035,1405
query,1513122028.053707,1513122028.1911082,619
query,1513122028.1911116,1513122028.371288,739
query,1513122028.3712928,1513122028.5514147,777
query,1513122028.5514193,1513122028.8959835,1174
query,1513122028.8959875,1513122029.0850406,824
query,1513122029.0850465,1513122029.2149704,71
query,1513122029.2150218,1513122029.3754597,4
query,1513122029.3909757,1513122029.5639193,856
query,1513122029.5639238,1513122030.112063,1857
query,1513122030.1120672,1513122030.3800929,1175
query,1513122030.3800974,1513122030.4913409,94
query,1513122030.4913447,1513122030.671765,668
query,1513122030.6717687,1513122030.8220959,429
query,1513122030.8220994,1513122031.2877803,1469
query,1513122031.2877848,1513122031.512995,1021
query,1513122031.5129983,1513122031.6403794,585
query,1513122031.640383,1513122031.8576303,1278
query,1513122031.857634,1513122032.2469337,1391
query,1513122032.246938,1513122032.3322883,3
query,1513122032.3322918,1513122032.5653267,986
query,1513122032.5653307,1513122032.851848,699
query,1513122032.851851,1513122033.232228,649
query,1513122033.2322323,1513122033.315743,1
query,1513122033.3157463,1513122033.4349563,185
query,1513122033.4349597,1513122033.5690556,579
query,1513122033.5690594,1513122033.681336,838
query,1513122033.681386,1513122033.9155443,1138
query,1513122033.9263403,1513122034.0425313,323
query,1513122034.042536,1513122034.1896057,913
query,1513122034.1896088,1513122034.3020172,29
query,1513122034.302022,1513122034.5001574,1276
query,1513122034.5001616,1513122034.6217566,275
query,1513122034.62176,1513122034.683835,0
query,1513122034.6838372,1513122035.0088496,1599
query,1513122035.0088534,1513122035.1062868,182
query,1513122035.1062906,1513122035.272105,608
query,1513122035.2721095,1513122035.4953535,777
query,1513122035.4953575,1513122035.6521244,218
query,1513122035.6521282,1513122035.8276143,288
query,1513122035.827619,1513122035.9694238,286
query,1513122035.9694288,1513122036.089436,34
query,1513122036.0894408,1513122036.2875707,1215
query,1513122036.2875729,1513122036.4411364,618
query,1513122036.4411385,1513122036.7474523,1186
query,1513122036.7474577,1513122037.0591657,1324
query,1513122037.0591702,1513122037.4962924,1797
query,1513122037.4963589,1513122037.60261,39
query,1513122037.6136086,1513122037.8315516,848
query,1513122037.8315551,1513122038.0736525,834
query,1513122038.0736568,1513122038.1913283,123
query,1513122038.191343,1513122038.3455665,445
query,1513122038.3455708,1513122038.676595,789
query,1513122038.6765997,1513122039.0689719,1704
query,1513122039.068976,1513122039.2698314,1275
query,1513122039.269836,1513122039.3899028,207
query,1513122039.3899064,1513122039.8996418,1778
query,1513122039.8996463,1513122040.0757098,1135
query,1513122040.0757153,1513122040.2582178,1379
query,1513122040.258223,1513122040.4084694,440
query,1513122040.4084728,1513122040.58118,1273
query,1513122040.5811837,1513122040.7102535,559
query,1513122040.7102566,1513122040.8724718,82
query,1513122040.8724756,1513122041.0114257,636
query,1513122041.0114286,1513122041.4850135,1974
query,1513122041.4850183,1513122041.6140478,895
query,1513122041.6140635,1513122041.7336605,50
query,1513122041.733706,1513122041.8632588,94
query,1513122041.8767457,1513122042.0019732,236
query,1513122042.0019763,1513122042.4124932,1652
query,1513122042.4124992,1513122042.541564,23
query,1513122042.541571,1513122042.734338,811
query,1513122042.7343433,1513122042.9415479,1642
query,1513122042.9415517,1513122043.0511901,398
query,1513122043.0511937,1513122043.6116943,2031
query,1513122043.6116993,1513122043.858659,266
query,1513122043.8586626,1513122044.2648895,1846
query,1513122044.2648942,1513122044.4389834,1062
query,1513122044.4389884,1513122044.838733,1130
query,1513122044.8387368,1513122044.9680042,976
query,1513122044.9680085,1513122045.1317303,464
query,1513122045.1317341,1513122045.5624104,1737
query,1513122045.5624142,1513122045.672063,21
query,1513122045.6720717,1513122045.8142602,221
query,1513122045.814264,1513122046.0490594,1568
query,1513122046.0490637,1513122046.1775336,687
query,1513122046.1775372,1513122046.4128613,663
query,1513122046.4128928,1513122046.5997326,670
query,1513122046.6121397,1513122046.8635209,1364
query,1513122046.8635244,1513122047.0861108,381
query,1513122047.086115,1513122047.3966303,237
query,1513122047.3966348,1513122047.7340214,1362
query,1513122047.7340255,1513122048.3813767,2268
query,1513122048.3813806,1513122048.5727484,578
query,1513122048.5727527,1513122048.6923091,413
query,1513122048.692313,1513122049.1403964,1519
query,1513122049.1404097,1513122049.3274193,699
query,1513122049.327423,1513122049.5294325,1352
query,1513122049.5294368,1513122049.608068,1
query,1513122049.608072,1513122049.7477527,884
query,1513122049.7477565,1513122049.8394756,128
query,1513122049.83948,1513122049.9531581,60
query,1513122049.9531615,1513122050.1700945,65
query,1513122050.1700993,1513122050.3871145,917
query,1513122050.38712,1513122050.6219802,1044
query,1513122050.621984,1513122051.2063737,1955
query,1513122051.2063775,1513122051.5524542,1834
query,1513122051.5524862,1513122051.7533824,560
query,1513122051.7617419,1513122052.0486498,1368
query,1513122052.0486536,1513122052.3573806,695
query,1513122052.3573847,1513122052.5406415,578
query,1513122052.5406454,1513122052.6831007,232
query,1513122052.6831045,1513122052.77803,409
query,1513122052.7780335,1513122052.9803417,1297
query,1513122052.9803455,1513122053.5601842,2106
query,1513122053.5601897,1513122053.7403667,621
query,1513122053.7403717,1513122053.8495886,381
query,1513122053.8495924,1513122054.0898888,1589
query,1513122054.0898929,1513122054.245086,228
query,1513122054.2450898,1513122054.4229639,441
query,1513122054.4229686,1513122054.7487032,1010
query,1513122054.748707,1513122055.123305,1721
query,1513122055.1233091,1513122055.468262,1783
query,1513122055.4682655,1513122055.5997543,423
