tables,1508687215.0375304,1508688349.0300257
query,0,1508688349.8859427,1
query,0,1508688350.0364578,362
query,0,1508688350.1744442,179
query,0,1508688351.3526874,2920
query,0,1508688351.5824416,2140
query,0,1508688351.6374295,2353
query,0,1508688352.005937,2807
query,0,1508688352.0654595,707
query,0,1508688352.2937663,1919
query,0,1508688352.5072074,2881
query,0,1508688352.55651,1081
query,0,1508688352.8803372,920
query,0,1508688353.1815553,2007
query,0,1508688353.2735715,777
query,0,1508688353.406371,2089
query,0,1508688353.6495254,2037
query,0,1508688353.772159,2137
query,0,1508688353.8512096,2416
query,0,1508688353.961939,1942
query,0,1508688354.1459336,2083
query,0,1508688354.1815803,1
query,0,1508688354.229613,1
query,0,1508688354.2870584,101
query,0,1508688354.4832695,1957
query,0,1508688354.5484414,18
query,0,1508688354.6927307,2920
query,0,1508688354.7290065,625
query,0,1508688354.9353316,1872
query,0,1508688354.981378,1160
query,0,1508688355.0131786,304
query,0,1508688355.0614567,1
query,0,1508688355.0914407,1
query,0,1508688355.1099224,1
query,0,1508688355.1756082,1921
query,0,1508688355.3517926,1762
query,0,1508688355.3971796,1332
query,0,1508688355.4355195,1040
query,0,1508688355.4734309,47
query,0,1508688355.52322,1178
query,0,1508688355.5670693,19
query,0,1508688355.6075985,140
query,0,1508688355.8034685,2589
query,0,1508688355.8481727,1006
query,0,1508688355.8817382,28
query,0,1508688356.098665,2990
query,0,1508688356.1489615,82
query,0,1508688356.180717,137
query,0,1508688356.2168415,127
query,0,1508688356.254567,7
query,0,1508688356.492371,2737
query,0,1508688356.5471604,45
query,0,1508688356.586941,3
query,0,1508688356.7036748,1161
query,0,1508688356.7967255,1577
query,0,1508688356.9970803,2343
query,0,1508688357.226876,657
query,0,1508688357.281069,1307
query,0,1508688357.3451142,340
query,0,1508688357.40167,2065
query,0,1508688357.464886,1968
query,0,1508688357.5015652,542
query,0,1508688358.0052838,1226
query,0,1508688358.175827,2729
query,0,1508688358.2231686,321
query,0,1508688358.2866502,191
query,0,1508688358.3537807,1487
query,0,1508688358.4244115,1428
query,0,1508688358.515827,1562
query,0,1508688358.6715822,1812
query,0,1508688358.730053,2821
query,0,1508688358.7671733,14
query,0,1508688358.8468008,1421
query,0,1508688358.8826478,2934
query,0,1508688358.9854984,1710
query,0,1508688359.3578782,1924
query,0,1508688359.3912356,1357
query,0,1508688359.4168336,2
query,0,1508688359.5682306,2104
query,0,1508688359.6991866,665
query,0,1508688359.7514503,1600
query,0,1508688359.8297262,1946
query,0,1508688359.907755,1657
query,0,1508688360.0253778,2156
query,0,1508688360.057528,17
query,0,1508688360.2057383,1599
query,0,1508688360.2696483,1750
query,0,1508688360.323963,1322
query,0,1508688360.4041076,2576
query,0,1508688360.7606814,2362
query,0,1508688360.7951982,1475
query,0,1508688360.8251247,16
query,0,1508688360.8723207,1987
query,0,1508688360.945601,1603
query,0,1508688360.9791982,1
query,0,1508688361.0471807,1
query,0,1508688361.089597,5
query,0,1508688361.2461271,1930
query,0,1508688361.269268,168
query,0,1508688361.3177202,1428
query,0,1508688361.3588495,1642
query,0,1508688361.4337842,1393
query,0,1508688361.4686644,1345
query,0,1508688361.5010393,2
query,0,1508688361.5261767,1
query,0,1508688361.5412867,6
query,0,1508688361.5730507,317
query,0,1508688361.6454575,670
query,0,1508688361.6851678,35
query,0,1508688361.7166045,300
query,0,1508688361.7935805,1849
query,0,1508688361.8207347,14
query,0,1508688361.8719149,128
query,0,1508688361.913496,9
query,0,1508688361.952769,1440
query,0,1508688361.9871397,200
query,0,1508688362.0272639,7
query,0,1508688362.1475236,1625
query,0,1508688362.1839836,5
query,0,1508688362.2269452,253
query,0,1508688362.2856011,275
query,0,1508688362.3175507,235
query,0,1508688362.355061,126
query,0,1508688362.3894799,1312
query,0,1508688362.5657394,1449
query,0,1508688362.6111648,1438
query,0,1508688362.6389894,331
query,0,1508688362.667455,157
query,0,1508688362.6918874,161
query,0,1508688362.7320704,1325
query,0,1508688362.8315496,554
query,0,1508688362.8604794,402
query,0,1508688362.943897,1041
query,0,1508688363.02826,25
query,0,1508688363.0658903,2807
query,0,1508688363.189482,426
query,0,1508688363.23243,1281
query,0,1508688363.271294,20
query,0,1508688363.4760337,1362
query,0,1508688363.5118158,121
query,0,1508688363.551685,249
query,0,1508688363.6291578,471
query,0,1508688363.8277988,1852
query,0,1508688363.9096704,1933
query,0,1508688363.9435003,684
query,0,1508688364.0081053,65
query,0,1508688364.125016,2187
query,0,1508688364.1799896,419
query,0,1508688364.2431297,933
query,0,1508688364.2868125,2
query,0,1508688364.3124905,174
query,0,1508688364.3556604,1255
query,0,1508688364.3692052,399
query,0,1508688364.4616864,499
query,0,1508688364.5736704,4550
query,0,1508688364.5951376,1164
query,0,1508688364.6516242,1497
query,0,1508688364.6775458,1770
query,0,1508688364.7416487,908
query,0,1508688364.7732604,584
query,0,1508688364.80574,94
query,0,1508688364.8397338,1017
query,0,1508688364.9350917,2196
query,0,1508688365.0293047,2189
query,0,1508688365.0631166,1104
query,0,1508688365.1110618,1445
query,0,1508688365.1608877,632
query,0,1508688365.26926,451
query,0,1508688365.3173912,1
query,0,1508688365.3458629,206
query,0,1508688365.383154,1
query,0,1508688365.4160876,9
query,0,1508688365.4692433,391
query,0,1508688365.5091941,264
query,0,1508688365.5447123,679
query,0,1508688365.5931175,1467
query,0,1508688365.6341388,1462
query,0,1508688365.678398,733
query,0,1508688365.7445683,845
query,0,1508688365.7570627,159
query,0,1508688365.809716,1454
query,0,1508688365.9144516,2067
query,0,1508688366.0516481,2005
query,0,1508688366.0887153,44
query,0,1508688366.1205268,158
query,0,1508688366.1696336,1459
