tables,1500664385.7174132,1500664414.1904676
query,1500664414.196295,1500664414.1987092,1500664414.1984463
query,1500664414.2040572,1500664414.2058241,1500664414.2057736
query,1500664414.2088344,1500664414.2102587,1500664414.2101133
query,1500664414.212858,1500664414.2130404,1500664414.213002
query,1500664414.2180645,1500664414.2189941,1500664414.218953
query,1500664414.2215319,1500664414.222097,1500664414.221922
query,1500664414.2262402,1500664414.2280324,1500664414.2279704
query,1500664414.2314563,1500664414.232683,1500664414.232678
query,1500664414.2353957,1500664414.236826,1500664414.2367136
query,1500664414.239701,1500664414.2416878,1500664414.2416818
query,1500664414.2437406,1500664414.244029,1500664414.2438855
query,1500664414.2476525,1500664414.2497022,1500664414.2496955
query,1500664414.2521288,1500664414.252855,1500664414.252849
query,1500664414.2559416,1500664414.257493,1500664414.257386
query,1500664414.260309,1500664414.2608294,1500664414.2606828
query,1500664414.2656772,1500664414.2665439,1500664414.2663913
query,1500664414.2697008,1500664414.270696,1500664414.2706559
query,1500664414.273799,1500664414.2750354,1500664414.2750294
query,1500664414.2777836,1500664414.2779994,1500664414.2779934
query,1500664414.2815583,1500664414.2832806,1500664414.2832386
query,1500664414.2854767,1500664414.2874458,1500664414.287265
query,1500664414.2907546,1500664414.2922308,1500664414.292093
query,1500664414.2968812,1500664414.2994416,1500664414.2994354
query,1500664414.3016095,1500664414.3033156,1500664414.3032212
query,1500664414.305736,1500664414.3065355,1500664414.3065298
query,1500664414.3091857,1500664414.3099482,1500664414.3098843
query,1500664414.314215,1500664414.3155794,1500664414.3155735
query,1500664414.318256,1500664414.318777,1500664414.3186433
query,1500664414.3223934,1500664414.3227067,1500664414.3226125
query,1500664414.3276157,1500664414.3290222,1500664414.329015
query,1500664414.3317144,1500664414.3346586,1500664414.3346515
query,1500664414.336874,1500664414.3372488,1500664414.3372407
query,1500664414.3413377,1500664414.3433268,1500664414.3433206
query,1500664414.345729,1500664414.3478296,1500664414.3478231
query,1500664414.3503892,1500664414.351611,1500664414.3516052
query,1500664414.3553874,1500664414.356389,1500664414.3563828
query,1500664414.3601182,1500664414.3606756,1500664414.3605433
query,1500664414.363807,1500664414.365577,1500664414.3655136
query,1500664414.3691232,1500664414.3706138,1500664414.3705585
query,1500664414.372804,1500664414.3731737,1500664414.3731656
query,1500664414.376579,1500664414.3771198,1500664414.3769236
query,1500664414.3799565,1500664414.382654,1500664414.3826394
query,1500664414.3857174,1500664414.3864958,1500664414.3864899
query,1500664414.3901658,1500664414.3903928,1500664414.3903074
query,1500664414.3946688,1500664414.3967564,1500664414.39675
query,1500664414.3992207,1500664414.399807,1500664414.3996577
